year,make,model,trim,type,damage,price,odometer,lot,date,location,state,url
2013,Volkswagen,Jetta Se Vin: 3Vwdp7Aj4Dm358666,,Coupe,Front End,850,9270 mi,,14.12.2016,,,
2012,Select,Brand,,Sedan,Front End,4100,184115 mi,,04.03.2020,,,
2012,Select,Brand,,Sedan,Front End,5700,31896 mi,,04.02.2019,,,
2010,Select,Brand,,Sedan,Front End,925,28535 mi,,20.08.2019,,,
2015,Select,Brand,,Sedan,Front End,1050,27409 mi,,11.03.2020,,,
2011,Select,Brand,,Sedan,Front End,8800,140511 mi,,06.03.2020,,,
2012,Select,Brand,,Sedan,Front End,6700,98843 mi,,05.03.2020,,,
2010,Select,Brand,,Sedan,Front End,2300,138392 mi,,04.03.2020,,,
2013,Select,Brand,,Sedan,Front End,3150,23789 mi,,14.11.2019,,,
2014,Select,Brand,,Sedan,Front End,5150,102029 mi,,12.03.2020,,,
2008,Select,Brand,,Sedan,Side,3100,49328 mi,,30.10.2019,,,
2013,Select,Brand,,Sedan,Front End,9900,141963 mi,,04.03.2020,,,
2015,Select,Brand,,Sedan,Front End,10600,26669 mi,,11.10.2019,,,
2008,Select,Brand,,Sedan,Front End,16600,45132 mi,,14.08.2019,,,
2010,Select,Brand,,Sedan,Front End,3150,77605 mi,,09.03.2020,,,
2015,Select,Brand,,Sedan,Front End,9100,78024 mi,,05.03.2020,,,
2013,Select,Brand,,Sedan,Front End,4200,132568 mi,,12.03.2020,,,
2015,Select,Brand,,Sedan,Front End,3800,4329 mi,,13.04.2018,,,
2012,Select,Brand,,Sedan,Front End,950,19771 mi,,13.07.2019,,,
2010,Select,Brand,,Sedan,Front End,1700,100798 mi,,04.03.2020,,,
2012,Volkswagen,Jetta Se Vin: 3Vwdx7Aj7Cm356151,,Sedan,Rear End,2950,43569 mi,,11.04.2018,,,
2011,Volkswagen,Jetta Sel Vin: 3Vwlz7Ajxbm360358,,Sedan,Front End,800,2011 mi,,05.09.2017,,,
2010,Select,Brand,,Sedan,Front End,5000,114770 mi,,28.02.2020,,,
2010,Select,Brand,,Sedan,,18400,78428 mi,,18.03.2020,,,
2013,Select,Brand,,Sedan,Front End,27550,63084 mi,,10.03.2020,,,
2013,Select,Brand,,Sedan,Front End,10700,73986 mi,,05.03.2020,,,
2009,Select,Brand,,Sedan,Front End,9500,92025 mi,,07.03.2020,,,
2012,Volkswagen,Jetta Vin: 3Vwdp7Aj5Cm387530,,Sedan,Front End,2850,38825 mi,,17.07.2018,,,
2013,Select,Brand,,Sedan,Front End,7100,133142 mi,,06.03.2020,,,
2013,Select,Brand,,Sedan,Front End,3200,81026 mi,,13.03.2020,,,
2008,Select,Brand,,Sedan,Front End,4400,210858 mi,,04.03.2020,,,
2015,Select,Brand,,Sedan,Front End,8500,81633 mi,,17.03.2020,,,
2012,Honda,Civic Lx Vin: 2Hgfb2F55Ch591124,,Sedan,Front End,700,111699 mi,,08.04.2025,,,
2013,Hyundai,Elantra Gls Vin: Kmhdh4Ae2Du990381,,Sedan,Front End,950,65266 mi,,09.09.2025,,,
2013,Select,Brand,,Sedan,Front End,1600,47702 mi,,09.03.2020,,,
2015,Select,Brand,,Sedan,Front End,4000,138704 mi,,04.03.2020,,,
2012,Select,Brand,,Sedan,Front End,3600,127987 mi,,26.02.2020,,,
2010,Select,Brand,,Sedan,Front End,20525,1 mi,,09.03.2020,,,
2014,Select,Brand,,Sedan,Front End,2450,24671 mi,,22.07.2019,,,
2009,Select,Brand,,Sedan,Front End,3600,97980 mi,,09.03.2020,,,
2008,Select,Brand,,Sedan,Front End,2800,15838 mi,,14.01.2019,,,
2012,Select,Brand,,Sedan,Front End,4100,21233 mi,,17.08.2018,,,
2015,Select,Brand,,Sedan,Front End,1975,17461 mi,,14.10.2019,,,
2013,Select,Brand,,Sedan,Front End,8900,63531 mi,,07.03.2020,,,
2014,Select,Brand,,Sedan,Front End,6700,78417 mi,,09.03.2020,,,
2013,Toyota,Avalon Base Vin: 4T1Bk1Ebxdu076547,,Sedan,Front End,3250,2013 mi,,09.06.2022,,,
2014,Select,Brand,,Sedan,Front End,2750,24500 mi,,20.03.2020,,,
2015,Select,Brand,,Sedan,Front End,1550,67990 mi,,06.03.2020,,,
