year,make,model,trim,type,damage,price,odometer,lot,vin,date,location,state,source,auction,url
2013,Volkswagen,Jetta Se Vin: 3Vwdp7Aj4Dm358666,,Coupe,Front End,850,9270 mi,,3VWDP7AJ4DM358666,,,,Copart,,
2020,Mercedes-Benz,Glc-Class,300,Sc,Front End,0,9195 mi,97510485,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2018,Mercedes-Benz,C-Class,300,Sc,Rear End,0,71305 mi,79949555,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2025,Honda,Civic,Sport,Sc,Rear End,0,15825 mi,79456945,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2017,Audi,Q7,Prestige,Sc,Burn - Engine,0,87219 mi,79239735,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2023,Ford,Mustang,Select,Sc,Front End,0,93285 mi,78670385,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2019,Volkswagen,Jetta,S,Sc,Front End,0,130299 mi,78364385,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2023,Hyundai,Tucson,Sel,Sc,Rear End,0,25972 mi,78107065,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2015,Volkswagen,Jetta,Base,Sc,Undercarriage,0,141607 mi,76987485,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2016,Kia,Soul,+,Dy,Mechanical,0,149678 mi,75704305,[PREMIUM],2026-04-22,Ca - Mentone,CA,,,[PREMIUM]
2023,Nissan,Rogue,Sl,Sc,Front End,0,104036 mi,75414265,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2020,Hyundai,Elantra,Sel,Sc,Front End,0,103988 mi,75311105,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2024,Honda,Crv,Sport-L,Sc,Front End,0,23417 mi,74382845,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2018,Hyundai,Elantra,Value Edition,Sc,Rear End,0,157857 mi,48251786,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2015,Kia,Optima,Lx,Sc,Rear End,0,173927 mi,48170966,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2023,Cadillac,Xt5,Premium Luxury,Sc,Front End,0,43779 mi,47773946,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2025,Toyota,Camry,Se,Sc,Front End,0,80116 mi,41838456,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2017,Honda,Accord,Sport Special Edition,Sc,Front End,0,132436 mi,78852885,[PREMIUM],2026-04-17,Ca - Redding,CA,,,[PREMIUM]
2023,Honda,Civic,Sport,Sc,Front End,0,41189 mi,77837465,[PREMIUM],2026-04-17,Ca - Redding,CA,,,[PREMIUM]
2022,Hyundai,Santa Cruz,Se,Cd,Rear End,0,31541 mi,78185825,[PREMIUM],2026-04-17,Ca - Redding,CA,,,[PREMIUM]
2021,Tesla,Model 3,,Ac,Front End,0,42022 mi,49272756,[PREMIUM],2026-04-24,Ca - Redding,CA,,,[PREMIUM]
2017,Toyota,Tundra,Trd Pro,Sc,Front End,0,0 mi,46046846,[PREMIUM],,Ca - Redding,CA,,,[PREMIUM]
2020,Mercedes-Benz,Gle-Class,350 4Matic,Sc,Front End,0,101444 mi,41985706,[PREMIUM],2026-04-17,Ca - Redding,CA,,,[PREMIUM]
2023,Gmc,Sierra,K1500 Elevation,Sc,Front End,0,20316 mi,41754986,[PREMIUM],,Ca - Redding,CA,,,[PREMIUM]
2025,Mercedes-Benz,Cla-Class,250,Sc,Undercarriage,0,1944 mi,66960285,[PREMIUM],2026-04-09,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2015,Nissan,Sentra,S,Sc,Front End,0,94162 mi,64475145,[PREMIUM],,Ca - Rancho Cucamonga,CA,,,[PREMIUM]
2018,Tesla,Model S,,Sc,Front End,0,70827 mi,86253355,[PREMIUM],2026-04-10,Ca - San Diego,CA,,,[PREMIUM]
2023,Kia,Ev6 Gt-Lin,Gt-Line,Sc,Side,0,57448 mi,79781425,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2018,Mercedes-Benz,E-Class,300,Sc,Rear End,0,74833 mi,77942995,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2019,Audi,Q5,Premium Plus,Sc,Front End,0,136134 mi,77244495,[PREMIUM],2026-04-22,Ca - Mentone,CA,,,[PREMIUM]
2019,Honda,Civic,Sport,Sc,All Over,0,0 mi,74484835,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2020,Hyundai,Elantra Va,Value Edition,Sc,Rear End,0,134177 mi,48705546,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2016,Nissan,Altima,2.5 Sv,Dv,Minor Dent/Scratches,0,174695 mi,48498616,[PREMIUM],2026-04-22,Ca - Mentone,CA,,,[PREMIUM]
2019,Nissan,Rogue,S,Sc,Front End,0,65173 mi,48512446,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2019,Ford,All Models,,Sc,Front End,0,35700 mi,47909066,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2018,Kia,Sorento,Lx,Dv,Mechanical,0,129224 mi,47595326,[PREMIUM],2026-04-22,Ca - Mentone,CA,,,[PREMIUM]
2026,Toyota,Corolla,Se,Sc,Rollover,0,739 mi,79833585,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2021,Toyota,Rav4,Xle,Sc,Front End,0,131448 mi,46527636,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2022,Chevrolet,Equinox,Ls,Sc,Front End,0,73856 mi,46199776,[PREMIUM],2026-04-22,Ca - Mentone,CA,,,[PREMIUM]
2016,Lexus,Gs350,Base,Sc,Front End,0,192037 mi,45447836,[PREMIUM],2026-04-22,Ca - Mentone,CA,,,[PREMIUM]
2022,Toyota,Corolla Cr,Le,Sc,Front End,0,14502 mi,42000746,[PREMIUM],,Ca - Mentone,CA,,,[PREMIUM]
2018,Mini,Cooper,Clubman,Sc,Front End,0,85281 mi,41582696,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2020,Subaru,Wrx,Premium,Sc,Rear End,0,37040 mi,97982505,[PREMIUM],,Ca - Redding,CA,,,[PREMIUM]
2025,Mazda,Cx30,Premium,Sc,Front End,0,17184 mi,48173946,[PREMIUM],2026-04-17,Ca - Redding,CA,,,[PREMIUM]
2018,Buick,Encore,Preferred,Dv,Minor Dent/Scratches,0,69564 mi,47770496,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2016,Ford,Edge,Sel,Sh,Front End,0,143299 mi,47025486,[PREMIUM],2026-04-10,Ca - Redding,CA,,,[PREMIUM]
2016,Toyota,Tacoma,Trd Sport,Sc,Front End,0,44394 mi,46500396,[PREMIUM],,Ca - Redding,CA,,,[PREMIUM]
2018,Nissan,Sentra,Sv,Sc,Front End,0,100770 mi,79946555,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2022,Subaru,Crosstrek,Limited,Sc,Rollover,0,126441 mi,79641655,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2018,Cadillac,Xt5,Luxury,Sc,Front End,0,68344 mi,48174306,[PREMIUM],2026-04-22,Ca - Mentone,CA,,,[PREMIUM]
2016,Hyundai,Sonata,Limited,Sc,Side,0,119281 mi,46052086,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2020,Hyundai,Veloster,Turbo R-Spec,Sc,Side,0,138182 mi,45801346,[PREMIUM],2026-04-15,Ca - Mentone,CA,,,[PREMIUM]
2017,Honda,Civic,Lx,Sc,Front End,0,112782 mi,46360676,[PREMIUM],2026-04-08,Ca - Mentone,CA,,,[PREMIUM]
2023,Lexus,Es300,Base,Sc,Front End,0,45162 mi,95020715,[PREMIUM],2026-04-13,Ca - Adelanto,CA,,,[PREMIUM]
