year,make,model,trim,type,damage,price,odometer,lot,date,location,state
2022,FORD,EXPLORER,,SUV,REAR END,9900,"71,345 mi",46090416,"April 17, 2026",OH,COLUMBUS
2016,HONDA,HR-V,,Sedan,FRONT END,3000,"78,903 mi",46216526,"April 17, 2026",NC,KNIGHTDALE
2021,KIA,TELLURIDE,,Sedan,SIDE,8400,"88,392 mi",78186135,"April 17, 2026",TX,HASLET
2021,VOLKSWAGEN,JETTA,,Sedan,HAIL,5400,"43,951 mi",64064535,"April 7, 2025",ALBERTA,ROCKYVIEW
2017,VOLKSWAGEN,JETTA,,Sedan,REAR END,2300,"155,707 mi",36918134,"March 3, 2025",CO,LITTLETON
2024,VOLKSWAGEN,JETTA,,Sedan,RIGHT SIDE,7800,"81,622 mi",41699315,"March 20, 2025",UT,OGDEN
2023,VOLKSWAGEN,JETTA,,Sedan,NORMAL WEAR & TEAR,6900,"91,447 mi",44357925,"February 20, 2025",CA,GARDENA
2015,VOLKSWAGEN,JETTA,,Sedan,FRONT END,1400,"27,758 mi",40400147,"March 17, 2025",UT,FARR WEST
2021,VOLKSWAGEN,JETTA,,Sedan,FRONT & REAR,3650,"104,615 mi",40859159,"September 17, 2024",VA,SUFFOLK
2019,VOLKSWAGEN,JETTA,,Sedan,MECHANICAL,4400,"90,944 mi",61958314,"July 25, 2024",AL,THEODORE
